2017-10-29 23:11:51
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    5.214|   -0.014|   -0.053|    0.639|   -0.244|   33.875|  -30.703|  -19.453|  -14.922|   -0.626|
    5.235|   -0.021|   -0.033|    0.628|   -6.594|   51.688|  -28.203|   -0.049|   -0.681|    0.363|
    5.256|    0.179|   -0.048|    0.797|   -0.061|    0.000|    0.061|   -2.719|   -1.340|    0.011|
    5.277|    0.151|   -0.050|   -0.035|  313.000|   -2.869|  -56.938|   -6.520|  -10.742|   -2.740|
    5.298|   -0.029|   -0.052|    0.937|   -5.980|   -2.137|   -1.709|    0.192|   -0.412|   -0.198|
    5.319|    0.056|   -0.054|    0.931|   -2.381|   64.938|   -5.371|    7.180|   -0.269|   -0.665|
    5.340|    0.043|    0.306|   -0.021|   -5.309|   -5.676|   -2.014|   14.555|   -0.143|   -8.281|
    5.361|    0.023|   -0.047|   -0.013|   -7.141|   53.656|   -7.750|   -0.143|   -4.066|   -0.159|
    5.382|    0.038|    0.426|   -0.012|  234.625|   -1.587|   -0.366|   25.938|   -2.752|   -0.027|
    5.403|    0.009|    0.524|   -0.042|  254.250|   20.562|  -86.125|   31.031|   -0.198|  -12.578|
    5.424|    0.041|    0.644|    0.793|  203.625|   33.438|  -72.938|   35.625|   -0.264|  -13.570|
    5.445|    0.045|   -0.019|   -0.017|   84.000|   -4.395|  -29.906|   -0.352|    0.593|   -0.352|
    5.466|    0.023|   -0.005|    0.647|   -5.188|    6.715|   -4.699|   -0.423|   -0.692|   -0.511|
    5.487|    0.016|   -0.055|    0.798|   21.734|   -6.836|   -5.250|   41.031|   -0.478|  -13.883|
    5.508|    0.024|   -0.050|   -0.007|    0.000|    0.000|    0.000|   -0.214|   -0.522|  -12.648|
    5.529|   -0.054|    0.780|    0.908|   -0.977|  -56.938|   -4.211|   38.594|   -0.253|   -0.467|
    5.550|   -0.055|    0.671|    1.033| -309.750|   -2.746|  112.812|   34.250|   -2.400|  -11.023|
    5.571|   -0.038|   -0.060|    1.031|   -5.617| -150.625|   -3.602|   -0.643|   -5.391|   -0.346|
    5.592|   -0.021|   -0.056|    0.805|   -1.525| -202.875|   -0.488|   -0.104|   -9.336|   -0.599|
    5.613|   -0.023|    0.131|   -0.001|    0.000|    0.061|    0.061|    6.270|  -13.969|   -0.066|
    5.634|    0.167|   -0.056|    0.663|    0.061|   -0.122|    0.000|   -5.277|   -0.016|   -0.489|
    5.655|   -0.017|   -0.093|    0.548|   -2.137|   -4.395|   -7.750|  -10.820|  -20.594|   -0.621|
    5.676|   -0.053|   -0.337|    0.409|   -6.227|   -0.183|   82.375|  -26.312|  -26.688|   -0.231|
    5.697|   -0.046|   -0.045|    0.395| -338.250|   -4.273|   -1.893|   -0.225|  -28.875|    5.723|
    5.718|   -0.018|   -0.033|   -0.048| -182.875|  -87.188|   -0.183|   -2.740|   -1.324|    0.011|
    5.739|    0.511|   -0.033|   -0.359|    0.061|    0.000|    0.061|   -2.740|   -1.324|    0.011|
    5.760|    0.421|   -0.852|   -0.103|    0.061|   -0.061|    0.061|   -2.740|   -1.324|    0.011|
    5.781|    0.406|   -0.843|   -0.002|   -0.732|  190.750|   -3.297|   -0.286|   -0.483|    3.125|
    5.802|   -0.042|   -0.750|   -0.001|   -2.137|  172.500| -102.125|  -28.109|  -24.891|   -0.665|
    5.823|   -0.057|   -0.003|   -0.041|   -0.671|   -4.699| -123.688|   -0.044|   -0.505|   -0.115|
    5.844|    0.293|   -0.058|   -0.034|   -6.531|  116.938| -123.125|   -0.676|   -0.544|   -7.773|
    5.865|    0.163|   -0.037|   -0.015|   -3.297|   99.250|  -91.562|   -0.324|   -0.242|  -10.820|
    5.886|    0.022|   -0.010|   -0.009|  128.750|   -6.957|  -72.188|   -7.773|  -18.156|   -0.242|
    5.907|   -0.070|   -0.057|   -0.012|   -5.797|   -3.967|   -0.244|   -0.275|  -16.703|  -13.859|
    5.928|   -0.061|   -0.006|    1.055|  115.250|   -1.648|   37.219|   -0.302|   -0.181|  -13.445|
    5.949|    0.017|    0.278|    0.803|   48.719|   -6.531|   -3.174|   -0.665|   -0.428|  -11.062|
    5.970|   -0.059|    0.150|   -0.001|   21.672|   -3.602|   97.250|   -0.517|   -0.346|   -0.214|
    5.991|    0.042|   -0.057|   -0.007|   20.562|    4.641|  109.625|    0.632|   -0.209|   -6.719|
    6.012|   -0.009|   -0.232|   -0.047|   32.906|    0.122|  100.438|    0.544|   -0.231|   -0.055|
    6.033|   -0.017|   -0.841|   -0.012|   66.812|    5.492|   -3.297|    0.610|   -0.456|   -0.610|
    6.054|    0.559|   -0.057|    1.012|   -6.594|   17.766|   17.766|    1.423|   -0.209|   -2.812|
    6.075|   -0.242|    0.023|   -0.062|   -7.629|   -2.197|   -0.061|   -0.681|  -14.000|   -3.873|
    6.096|   -0.000|   -0.609|    0.755|   94.750|   -4.332| -134.375|    5.730|   -0.121|   -0.659|
    6.117|   -0.023|   -0.051|    0.681|  129.375|   -4.090|   -7.020|    9.078|  -13.977|   -9.797|
    6.138|    0.187|    0.028|    0.778|   -4.578|   -4.516| -186.375|   -0.450|  -13.625|   -0.434|
    6.159|   -0.010|    0.013|   -0.047|   -9.398|   -0.061|   21.359|   -0.115|  -12.164|   -0.181|
    6.180|   -0.033|   -0.057|    0.783|   -6.043|    3.967| -137.500|   -2.324|   -2.395|   -7.812|
    6.201|   -0.014|   -0.018|    0.654|    6.957|    0.244|   -7.324|   -0.269|  -10.719|   -0.566|
    6.222|   -0.346|   -0.004|    0.765|    4.883|   -1.160|   -1.953|   -0.176|   -0.632|   -0.632|
    6.243|   -0.318|   -0.013|   -0.030|  -31.188|    7.387|   -1.221|   17.500|  -10.648|  -20.453|
    6.264|   -0.210|    0.672|   -0.038|   -1.037|   -9.828|  126.625|   15.688|   -0.187|  -18.234|
    6.285|   -0.011|    0.406|   -0.057|   -4.273|   -8.242|  141.625|   14.594|   -0.648|  -16.859|
    6.306|    0.275|   -0.014|    1.139|   -0.610|   -0.366|   -2.258|   11.445|  -12.445|   -0.599|
    6.328|   -0.037|   -0.042|   -0.009|  -30.094|  -11.047|  110.688|   -0.698|   -0.577|   -0.654|
    6.348|    0.804|   -0.056|    1.254|   19.844|   -6.227|   32.656|    9.102|   -0.648|   -6.609|
    6.369|   -0.014|   -0.059|   -0.029|    1.831|   -6.469|  -42.781|   -0.220|   -0.676|   -0.264|
    6.391|   -0.002|   -1.209|   -0.049|   -0.427|   -2.869| -124.312|    9.047|   -0.121|   -9.398|
    6.412|   -0.996|   -0.001|    0.753|   -6.773|    3.602|   -1.893|   -0.687|  -15.352|   -0.637|
    6.433|   -0.104|   -0.005|   -0.056|   -5.980|   -4.945|   -1.465|   -0.670|  -16.391|  -17.688|
    6.454|   -0.038|   -0.057|    0.648|   -5.125|   -1.648|   -4.090|    6.141|  -16.297|  -21.000|
    6.475|   -0.583|   -0.001|   -0.006|   82.000|   -2.137|   -3.051|    7.617|  -14.961|   -0.352|
    6.496|   -0.621|    1.631|    0.928|   20.938|   -2.320|   54.438|    9.078|  -13.602|   -0.385|
    6.517|   -0.049|   -0.028|    0.517|   -2.869|   -9.094|  130.500|    8.703|  -13.547|   -0.247|
    6.538|   -0.034|    0.756|    0.555|  -30.094|   -5.371|   -1.037|   -0.044|  -14.047|   -0.033|
    6.559|   -0.036|   -0.042|   -0.037|    4.820|   70.062|   -7.387|   -0.088|  -13.758|  -13.797|
    6.580|   -0.021|   -0.009|    1.557|   -5.125|   35.469|  207.625|    4.305|   -0.066|   -6.648|
    6.601|    0.758|   -1.738|   -0.045|   21.734|  -14.219|   -3.234|    4.289|   -0.077|   -4.934|
    6.622|   -0.054|   -1.734|   -0.034|  -15.445|   -5.922|   35.156|   -0.417|  -13.977|   -2.604|
    6.643|   -0.055|   -1.375|    0.804|   -3.234|  -57.188|   -5.738|   -0.621|  -15.039|   -0.478|
    6.664|    0.667|   -0.045|   -0.028|  -39.969|   -3.113|   -2.320|   -0.593|  -16.375|   -0.286|
    6.685|   -0.625|   -0.055|   -0.022|  -41.812|  -71.875|   -2.320|   -0.346|  -17.703|   -9.812|
    6.706|   -0.050|   -0.031|    0.426|  -10.867|   -7.445| -183.125|    4.688|  -17.938|  -13.758|
    6.727|   -0.458|    1.381|    0.771|   -4.273|   38.438|   -0.427|    6.047|   -0.319|   -0.621|
    6.748|   -0.705|    1.893|    1.050|   -3.051|   52.969|  -28.312|    7.129|   -0.005|   -0.626|
    6.769|   -0.624|    1.762|    1.011| -119.312|   -2.869|  100.062|    4.816|  -15.133|   -0.489|
    6.790|   -0.018|    1.057|   -0.058|   -4.820|  -10.617|   -0.549|    1.444|   -0.055|   -0.071|
    6.811|   -0.022|   -0.041|    1.148|  -30.578|   -0.122|  193.875|    0.220|   -0.071|  -13.609|
    6.832|   -0.022|   -1.208|   -0.004|   33.438|    5.066|   -2.930|   -1.115|  -15.219|   -9.633|
    6.853|   -0.020|   -0.016|    1.295|    6.836|  -43.750|  -72.375|   -0.544|  -15.359|   -5.477|
    6.874|    1.054|   -0.049|   -0.018|   -5.434|  -56.156|   15.750|   -0.264|   -0.253|   -0.676|
    6.895|   -0.017|   -1.090|   -0.062|   -3.418|   -7.141|  -74.812|   -0.363|  -17.859|   -0.192|
    6.916|    0.543|   -0.056|    0.278|  -54.875|  -91.625|   -2.869|   -0.555|   -0.505|   -6.988|
    6.937|   -0.035|   -0.240|   -0.018|  -57.625|  -86.500| -138.750|   -0.659|  -19.672|   -0.005|
    6.958|    0.286|   -0.062|    1.036|    1.831|   -6.531|   22.156|    0.478|  -20.969|  -13.555|
    6.979|   -0.049|   -0.010|    0.876|   82.750|   -3.785|   -5.309|   -0.456|   -0.385|   -0.330|
    7.000|   -0.328|   -0.048|   -0.062|   35.156|   35.031|   53.281|    4.574|  -19.312|  -16.594|
    7.021|   -0.071|    0.558|   -0.002|  -23.750|   17.938|   -5.492|   -0.621|  -19.062|   -0.280|
    7.042|   -0.011|   -0.024|    0.901|   -7.203|   -3.418|  -13.914|   -2.736|   -0.385|   -5.355|
    7.063|    0.629|   -1.730|    1.291|   79.875|   65.875|   95.750|   -0.280|  -16.672|   -6.789|
    7.084|   -0.029|   -1.321|    1.254|   19.109|   -2.990|   -7.078|    4.543|   -0.203|   -0.478|
    7.105|   -0.013|   -0.032|    0.802|   -5.676|   -3.113|   -1.831|   -0.016|  -15.258|   -6.828|
    7.126|    0.257|    0.157|    0.432|    7.387|   -7.570|   -9.398|   -2.549|   -0.742|   -5.383|
    7.147|   -0.031|   -0.009|   -0.017|   -7.262|   -6.410|  -60.062|   -2.455|   -0.566|   -5.609|
    7.168|   -0.078|    0.430|   -0.039|    0.977|   -0.061|   -1.099|   -2.439|   -0.621|   -0.027|
    7.189|   -0.122|   -0.001|    0.903|    0.122|   -0.183|   -0.305|   -0.005|  -10.797|   -0.104|
    7.210|   -0.096|   -0.051|   -0.057|   21.547|   -1.465|   -9.523|    3.340|   -0.132|   -0.269|
    7.231|   -0.056|   -0.037|   -0.055|   -5.004|   -7.750|    4.457|    3.361|   -6.734|   -0.137|
    7.252|    0.019|   -0.059|    1.143|  -25.078|   -5.066|   19.047|    2.900|   -5.461|  -11.000|
    7.273|    0.032|   -0.050|   -0.009|   -3.479|   34.719|   22.578|   -0.610|   -0.478|   -0.676|
    7.294|    0.062|   -0.009|   -0.040|   -7.020|   32.094|   23.188|   -0.132|   -3.758|   -9.805|
    7.315|   -0.056|   -0.030|    1.023|  -12.086|   34.188|   -5.250|   -0.269|   -0.610|   -9.539|
    7.336|   -0.028|   -0.016|    1.021|  -27.406|   15.805|    6.594|    0.637|   -2.643|   -0.604|
    7.357|   -0.040|   -0.028|    0.879|  -59.750|    1.343|   -2.197|    0.198|   -2.576|   -0.604|
    7.378|    0.046|   -0.069|   -0.003|    0.061|    0.000|    0.000|   -0.511|   -2.570|   -0.681|
    7.399|    0.012|   -0.111|   -0.017|    0.061|   -0.061|    0.000|   -2.445|   -0.818|   -0.027|
    7.420|   -0.020|   -0.105|   -0.045|   -6.531|   -6.652|   -3.174|   -2.445|   -0.824|   -0.027|
    7.441|   -0.038|   -0.093|    0.936|  -28.203|   20.500|   -3.418|   -0.286|   -1.379|   -9.312|
    7.462|   -0.042|   -0.114|   -0.042|  -27.828|   22.156|    5.922|   -5.098|   -0.972|   -9.383|
    7.483|   -0.034|   -0.050|    1.020|   -5.188|   22.641|    5.797|   -5.539|   -0.500|   -9.297|
    7.504|   -0.036|   -0.191|    1.039|  -12.570|   -6.285|    4.820|   -0.022|   -0.088|   -9.227|
    7.525|   -0.031|   -0.062|    0.934|    0.000|    0.000|    0.000|   -0.357|    0.011|   -0.692|
    7.546|   -0.039|   -0.054|   -0.006|  -45.031|  -11.414|   -1.099|   -6.641|   -0.165|   -0.522|
    7.567|   -0.039|   -0.054|   -0.006|  -45.031|  -11.414|   -1.099|   -6.641|   -0.165|   -0.522|
    7.588|   -0.027|   -0.225|   -0.024|    0.061|    0.061|    0.000|   -2.467|   -0.934|   -0.027|
    7.609|   -0.035|   -0.190|   -0.061|  -10.008|   -6.285|   -4.945|   -0.379|   -0.181|   -8.023|
    7.630|   -0.034|   -0.060|    0.923|  -10.984|    4.820|   -6.043|   -9.203|    0.132|   -7.758|
    7.651|   -0.034|   -0.061|    0.908|   -8.422|    2.074|   -7.812|   -9.430|    0.253|   -0.571|
    7.672|   -0.024|   -0.214|    0.878|   -6.773|    0.366|    6.348|   -9.641|    0.313|   -0.439|
    7.693|   -0.027|   -0.225|   -0.004|   -5.066|    0.671|    5.250|   -9.844|    0.368|   -0.330|
    7.714|   -0.021|   -0.020|    0.875|   -1.770|    2.562|    3.539|   -0.286|    0.472|   -0.209|
    7.736|   -0.034|   -0.241|    0.875|   -3.418|    1.465|   -1.160|   -0.374|    0.511|   -0.198|
    7.756|    0.027|   -0.041|   -0.003|    0.061|   -0.122|    0.000|   -0.610|    0.599|   -0.258|
    7.777|   -0.047|   -0.227|    0.895|    3.602|    3.723|   -2.197|   -0.648|   -0.698|   -0.330|
    7.798|   -0.043|   -0.225|    0.900|   -1.893|   -0.183|   -2.381|   -0.665|   -0.599|   -0.385|
    7.820|   -0.035|   -0.222|    0.876|   -4.578|   -2.502|   -2.320|  -10.648|   -0.599|   -0.423|
    7.841|   -0.026|   -0.229|   -0.010|   -6.836|   -3.602|   -2.746|  -10.852|   -0.654|   -0.461|
    7.862|   -0.025|   -0.234|   -0.015|   -4.762|   -3.479|   -3.113|  -11.039|    0.692|   -0.505|
    7.883|   -0.028|   -0.232|    0.877|   -2.074|   -1.221|   -3.662|  -11.172|    0.665|   -0.571|
    7.904|   -0.032|   -0.004|   -0.009|   -1.953|   -1.160|   -3.785|   -0.033|    0.648|   -0.637|
    7.925|   -0.036|   -0.231|    0.894|   -3.906|   -0.671|   -0.610|   -0.181|    0.654|   -0.676|
