2017-10-29 23:18:22
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    2.396|   -0.004|   -0.050|   -0.019|   -2.990|  -62.438|   -1.525|  -33.531|   -0.121|    7.082|
    2.417|   -0.021|   -0.193|    1.252|   49.812|   -1.343|  -11.414|  -33.531|  -64.375|   -0.593|
    2.438|   -0.019|   -0.314|    0.935|   46.938|  -27.469|   -3.539|  -30.734|  -66.062|   -0.346|
    2.459|   -0.039|   -0.012|   -0.032|   22.094|   -3.234| -156.125|   -0.231|  -68.375|    1.720|
    2.480|   -0.002|    0.034|   -0.025|  -12.875|   -3.113| -168.500|  -19.578|  -71.438|   -0.566|
    2.501|   -0.054|    0.295|    1.145|   -0.305|   -2.930|   -4.820|   -0.648|  -85.438|   55.406|
    2.522|   -0.101|   -0.042|    1.019|   -6.164|   -5.004|  -91.125|   -0.033|  -75.250|  -14.828|
    2.543|   -0.038|    0.301|    0.509|   -4.516|   -4.027|  -26.062|   -3.861|   -0.115|   -0.637|
    2.564|   -0.239|   -0.028|    0.430|   -7.387|   -6.531|   -0.671|   -0.011|  -75.250|   -0.203|
    2.585|   -0.071|    0.508|   -0.034|   -6.836|   83.312|   -3.967|  -10.555|  -72.688|   -0.363|
    2.606|   -0.047|   -0.031|    0.666|   -2.014|   81.375|   -0.732|   -0.561|   -0.297|   -7.941|
    2.627|    0.176|   -0.010|    0.798|   -8.180|   94.312|   -0.183|  -24.906|   -0.445|   -0.736|
    2.648|   -0.039|   -0.014|   -0.030|   20.203|   -2.869|  125.625|  -29.266|   -0.187|   -0.198|
    2.669|    0.505|   -0.190|   -0.054|   18.562|   -1.587|   65.875|  -30.656|   -0.011|    6.008|
    2.690|    0.513|   -0.203|    1.294|   -4.332|   68.125|    2.381|   -0.505|   -0.582|    5.668|
    2.711|    0.396|   -0.110|   -0.015|   -2.809|   38.031|  -24.594|   -0.456|  -58.844|    4.258|
    2.732|   -0.015|    0.052|    1.138|   -6.957|   -6.410|  -58.219|   -0.143|   -0.198|   -0.357|
    2.753|   -0.051|   -0.012|    1.035|   21.422|  -11.477|   -5.492|   -0.412|  -60.188|   -0.071|
    2.774|    0.050|    0.153|    0.936|   -0.061|   -4.699|   -4.457|  -19.141|   -0.665|   -5.000|
    2.795|    0.046|    0.179|   -0.024|   19.469|   -2.746|   -2.809|  -16.344|   -0.555|   -0.593|
    2.816|   -0.059|    0.138|   -0.038|   -4.699|   94.312|   -4.395|  -15.125|   -0.110|   -0.379|
    2.837|   -0.050|    0.261|   -0.057|   -4.516|   54.062|   22.281|  -15.312|  -58.906|   -0.093|
    2.858|    0.016|    0.152|   -0.011|   -4.211|   -6.348|   -2.320|   -0.110|  -57.438|   -0.291|
    2.879|   -0.069|   -0.054|    1.002|   -6.043|   51.875|   -3.113|  -17.625|   -0.302|   -9.398|
    2.900|   -0.095|    0.008|    0.935|   -4.762|   -3.723|  -10.680| -168.250|   -0.214|  156.625|
    2.921|    0.160|    0.002|   -0.010|   -5.859|   -7.629|   -6.285|  -20.906|  -51.781|   -0.214|
    2.942|   -0.056|   -0.030|    1.025|    0.000|   50.719|   47.438|  -23.797|  -47.594|   -0.209|
    2.963|   -0.037|   -0.040|   -0.002|   -3.234|   -3.113|    6.957|  -23.406|  -46.250|   -9.781|
    2.984|   -0.035|   -0.049|   -0.003|    6.531|    3.846|    0.427|   -0.247|   -0.159|   -9.828|
    3.005|   -0.038|   -0.056|   -0.004|   -2.014|   -1.099|   -0.061|  -22.281|   -0.209|   -9.805|
    3.026|   -0.040|   -0.052|   -0.006|    1.587|    0.793|   -0.061|  -22.062|  -43.344|   -9.812|
    3.047|   -0.035|   -0.051|   -0.007|   -0.671|   -0.366|    0.000|   -0.374|  -41.969|   -9.812|
    3.068|   -0.037|   -0.055|   -0.004|   -0.061|   -0.061|    0.000|   -0.022|   -0.319|   -9.812|
    3.089|   -0.037|   -0.053|   -0.006|    0.122|    0.122|    0.000|  -20.750|  -40.250|   -9.812|
    3.110|   -0.036|   -0.055|   -0.006|   -0.122|    0.000|    0.000|  -20.578|   -0.439|   -9.812|
    3.131|   -0.034|   -0.057|   -0.003|   -0.305|   -0.244|    0.000|   -0.643|   -0.055|   -0.472|
    3.152|   -0.031|   -0.057|   -0.009|    0.061|    0.000|    0.061|   -0.066|  -37.781|   -9.812|
    3.173|   -0.031|   -0.060|   -0.004|   -0.427|   -0.366|    0.000|  -19.422|   -0.428|   -9.812|
    3.194|   -0.690|   -0.006|    1.652|   -4.762|  -11.172|   -0.122|   -0.687|   -0.687|   -9.805|
    3.215|   -0.034|   -0.057|   -0.007|    0.366|    0.183|    0.000|   -0.527|   -0.308|   -9.805|
    3.236|   -0.034|   -0.058|   -0.008|   -0.061|   -0.183|    0.061|   -0.060|   -0.599|   -9.805|
    3.257|   -0.036|   -0.054|   -0.007|   -2.809|   -4.945|    5.004|  -18.047|  -33.625|   -9.797|
    3.278|   -0.034|   -0.057|   -0.004|   -0.061|   -0.061|    0.061|  -17.750|   -0.577|   -9.797|
    3.299|   -0.032|   -0.058|   -0.006|   -0.427|   -0.305|    0.061|   -0.593|  -32.219|   -9.797|
    3.320|   -0.032|   -0.057|   -0.008|   -0.061|   -0.122|    0.061|   -0.456|  -31.891|   -9.797|
